"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"102","102","Massachusetts Ave @ Prospect St",,"42.365486","-71.103802",,,,"place-cntsq"
"1026","1026","Chestnut Hill Ave @ Veronica Smith Ctr",,"42.347694","-71.153923",,,,
"1027","1027","Chestnut Hill Ave @ Englewood Ave",,"42.33712","-71.152077",,,,
"1028","1028","Chestnut Hill Ave @ Commonwealth Ave",,"42.337952","-71.153084",,,,
"1029","1029","Chestnut Hill Ave @ Commonwealth Ave",,"42.338314","-71.15345",,,,
"1030","1030","Chestnut Hill Ave @ Strathmore Rd",,"42.34026","-71.155273",,,,
"1031","1031","Chestnut Hill Ave @ Chiswick Rd",,"42.341095","-71.154739",,,,
"1032","1032","Chestnut Hill Ave opp Wiltshire Rd",,"42.343063","-71.153465",,,,
"1033","1033","Chestnut Hill Ave @ Wallingford Rd",,"42.344608","-71.153221",,,,
"1034","1034","Chestnut Hill Ave @ Union St",,"42.346123","-71.153",,,,
"1035","1035","Market St @ Washington St",,"42.349262","-71.153313",,,,
"1036","1036","Market St @ Sparhawk St",,"42.351524","-71.151917",,,,
"1037","1037","Market St @ Morrow Rd",,"42.353775","-71.150528",,,,
"1038","1038","Market St @ Cypress Rd",,"42.354507","-71.150055",,,,
"1039","1039","Market St @ N Beacon St",,"42.356033","-71.149078",,,,
"104","104","Massachusetts Ave @ Bigelow St",,"42.366837","-71.106018",,,,
"1040","1040","Market St @ Guest St",,"42.357311","-71.148285",,,,
"1041","1041","Market St @ Centola St",,"42.35928","-71.147079",,,,
"10413","10413","Columbus Ave @ Weld  Ave",,"42.315239","-71.097282",,,,
"10417","10417","American Legion Hwy @ Blue Hill Ave",,"42.298267","-71.087234",,,,
"10418","10418","American Legion Hwy opp Franklin Hill Ave",,"42.29583","-71.092506",,,,
"10419","10419","American Legion Hwy @ Canterbury St",,"42.285934","-71.109848",,,,
"1042","1042","Market St @ Lothrop St",,"42.360275","-71.146469",,,,
"10420","10420","opp 150 American Legion Hwy",,"42.294746","-71.0933",,,,
"10421","10421","American Legion Hwy @ Walk Hill St",,"42.287689","-71.106956",,,,
"10422","10422","American Legion Hwy opp Shopping Center",,"42.284763","-71.111694",,,,
"10423","10423","American Legion Hwy @ Stella Rd",,"42.28075","-71.116257",,,,
"10424","10424","American Legion Hwy @ Cummins Hwy",,"42.278465","-71.116714",,,,
"10425","10425","American Legion Hwy opp Shopping Mall",,"42.274384","-71.116783",,,,
"10426","10426","American Legion Hwy @ Army Reserve",,"42.284245","-71.112434",,,,
"10427","10427","American Legion Hwy opp Kingbird Rd",,"42.293255","-71.094597",,,,
"1043","1043","Western Ave @ Mackin St",,"42.361557","-71.145096",,,,
"1044","1044","Western Ave @ Richardson St",,"42.361897","-71.14328",,,,
"1045","1045","450 Western Ave",,"42.362164","-71.141785",,,,
"1046","1046","Western Ave @ Litchfield St",,"42.36253","-71.139786",,,,
"1049","1049","Western Ave @ Everett St",,"42.363094","-71.135445",,,,
"105","105","Massachusetts Ave @ Clinton St",,"42.367535","-71.107033",,,,
"1051","1051","Western Ave @ Travis St",,"42.363247","-71.128517",,,,
"1052","1052","130 Western Ave",,"42.363525","-71.125046",,,,
"10522","10522","Circuit Dr @ Glen Ln",,"42.305103","-71.094681",,,,
"1053","1053","60 Western Ave",,"42.36372","-71.122665",,,,
"10540","10540","Morton St @ Evans St",,"42.280888","-71.084656",,,,
"1055","1055","River St opp Blackstone St",,"42.361912","-71.11438",,,,
"1056","1056","River St @ Fairmount St",,"42.362564","-71.112389",,,,
"10569","10569","2165 Dorchester Ave",,"42.276283","-71.067032",,,,
"1058","1058","River St @ Pleasant St",,"42.36385","-71.108589",,,,
"10582","10582","River St opp Fremont St",,"42.269981","-71.089867",,,,
"10590","10590","Massachusetts Ave @ Washington St",,"42.336472","-71.076813",,,,
"106","106","Massachusetts Ave @ Hancock St",,"42.368389","-71.10862",,,,
"1060","1060","Magazine St @ Green St",,"42.365116","-71.104309",,,,
"10603","10603","Washington St @ Durnell Ave",,"42.282288","-71.132668",,,,
"1061","1061","Western Ave @ Kinnaird St",,"42.364952","-71.108902",,,,
"10612","10612","Washington St opp W Boundary Rd",,"42.268036","-71.149849",,,,
"10618","10618","Washington St @ Sumner St",,"42.256413","-71.163231",,,,
"1062","1062","Western Ave @ Howard St",,"42.364799","-71.110649",,,,
"10625","10625","Washington St opp Heron St",,"42.268829","-71.148552",,,,
"1063","1063","Western Ave @ Dodge St",,"42.364674","-71.112175",,,,
"10633","10633","Washington St @ Rosecliff St",,"42.282085","-71.132729",,,,
"1064","1064","Western Ave @ Putnam Ave",,"42.364491","-71.114113",,,,
"10642","10642","Forest Hills Station Upper Busway",,"42.300523","-71.113686",,,,"place-forhl"
"1067","1067","Western Ave opp Genzyme",,"42.363846","-71.122307",,,,
"1068","1068","125 Western Ave",,"42.363655","-71.124626",,,,
"1069","1069","Western Ave @ Stadium Way",,"42.363415","-71.127487",,,,
"107","107","Massachusetts Ave @ Dana St",,"42.369267","-71.110771",,,,
"1070","1070","Western Ave @ N Harvard St",,"42.363285","-71.12915",,,,
"1071","1071","Western Ave opp Riverdale St",,"42.363255","-71.13208",,,,
"1072","1072","Western Ave @ Everett St",,"42.363178","-71.135544",,,,
"1074","1074","367 Western Ave opp Brighton Mills Mall",,"42.362808","-71.138519",,,,
"1075","1075","Western Ave opp Litchfield St",,"42.362663","-71.139572",,,,
